DEBUG 2024-06-27 13:18:43,604 autoreload File /usr/lib/python3.10/_compat_pickle.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,606 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/core/checks/security/base.py first seen with mtime 1718731506.988896
DEBUG 2024-06-27 13:18:43,607 autoreload File /home/mcrymbo/shotokan/ShotokanUnited_backend/app/api/serializers.py first seen with mtime 1718736957.3233495
DEBUG 2024-06-27 13:18:43,609 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/utils/inspect.py first seen with mtime 1718731507.558896
DEBUG 2024-06-27 13:18:43,610 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/psycopg2/__init__.py first seen with mtime 1718731871.6788952
DEBUG 2024-06-27 13:18:43,612 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/dispatch/dispatcher.py first seen with mtime 1718731507.298896
DEBUG 2024-06-27 13:18:43,613 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/contrib/auth/__init__.py first seen with mtime 1718731503.018896
DEBUG 2024-06-27 13:18:43,614 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/core/handlers/__init__.py first seen with mtime 1718731507.018896
DEBUG 2024-06-27 13:18:43,615 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/gcloud/streaming/__init__.py first seen with mtime 1718774359.8862505
DEBUG 2024-06-27 13:18:43,616 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/core/__init__.py first seen with mtime 1718731506.948896
DEBUG 2024-06-27 13:18:43,617 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/sqlparse/__init__.py first seen with mtime 1718731499.3888962
DEBUG 2024-06-27 13:18:43,618 autoreload File /usr/lib/python3.10/_weakrefset.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,619 autoreload File /usr/lib/python3.10/importlib/_adapters.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,620 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/google/protobuf/__init__.py first seen with mtime 1718741874.600293
DEBUG 2024-06-27 13:18:43,620 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/rest_framework/authtoken/admin.py first seen with mtime 1718731515.0188959
DEBUG 2024-06-27 13:18:43,621 autoreload File /usr/lib/python3.10/ntpath.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,621 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/gcloud/environment_vars.py first seen with mtime 1718774359.5962503
DEBUG 2024-06-27 13:18:43,622 autoreload File /usr/lib/python3.10/textwrap.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,622 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/contrib/postgres/fields/citext.py first seen with mtime 1718731505.4988961
DEBUG 2024-06-27 13:18:43,623 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/db/backends/base/client.py first seen with mtime 1718731507.108896
DEBUG 2024-06-27 13:18:43,623 autoreload File /usr/lib/python3.10/functools.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,624 autoreload File /usr/lib/python3.10/logging/__init__.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,625 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/db/models/query_utils.py first seen with mtime 1718731507.2588959
DEBUG 2024-06-27 13:18:43,634 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1718731506.158896
DEBUG 2024-06-27 13:18:43,636 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/conf/locale/__init__.py first seen with mtime 1718731500.4288962
DEBUG 2024-06-27 13:18:43,637 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/requests/__init__.py first seen with mtime 1718774353.7962506
DEBUG 2024-06-27 13:18:43,638 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/core/files/uploadhandler.py first seen with mtime 1718731507.008896
DEBUG 2024-06-27 13:18:43,638 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/pyasn1/codec/cer/decoder.py first seen with mtime 1718741873.6902928
DEBUG 2024-06-27 13:18:43,638 autoreload File /usr/lib/python3.10/email/feedparser.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,639 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/requests_toolbelt/auth/guess.py first seen with mtime 1718774358.1262505
DEBUG 2024-06-27 13:18:43,639 autoreload File /usr/lib/python3.10/sre_constants.py first seen with mtime 1700493245.0
